001 ABRIR CUENTA|R8tbUe-1ikc
002 ACTUALIZACIÓN|ZLJN8-wXNqs
003 AGUA POTABLE|x-OerByrLuQ
004 ALCANTARILLADO|s_Z5Ek55umw
005 A QUÉ PLAZO QUIERE EL CRÉDITO|Y2Fm5yMiowU
006 ARQUITECTO|6bwk64Z5sN4
007 AUTORIZACIÓN DEL DUEÑO DE CASA|zHx4mPzjsNc
008 BANCO|D7fZZQjj9G8
009 BANCO DE LA VIVIENDA|_6pgeMkcbbM
010 BUENOS DIAS|X54siUa-e_Y
011 BUENAS TARDES|9qy-EBPomZI
012 BUENAS NOCHES|RocuYZgMKlQ
013 CAJA|WrRQ8VEugS0
014 CAJERO AUTOMÁTICO|3kdGFAVGlu0
015 CAMBIO|hI0V5QDS_kU
016 CARNET|qPd9eOcaioU
017 CÉDULA DE IDENTIDAD|J6JzGR7kfbE
018 CHEQUE  Y CHEQUERA|ZlNw71YArS0
019 CERTIFICADO DE DEPÓSITO|A-MFD8Mhe1Y
020 CERTIFÍQUEME ESTE CHEQUE|suglP57HwQo
021 CLIENTE PERSONA|_DBt6LpSY8w
022 COBRAR PENSIÓN|dl5eea5Bkbw
023 CÓMO TE  SIENTES|L0Dp2xZB9-U
024 CONADIS|bliCZBlFLS4
025 CONTRATO|aI8aipl-1BU
026 CONTROL PREVIO|bXL8i_HkYfw
027 CONVENIO|eE_JwLnp8Oo
028 COPIAS|nLNO0bMX4dk
029 CORTADO EL SERVICIO|8352R2t_mL8
030 CUÁLES SON LOS REQUISITOS PARA ABRIR UNA CUENTA|ya97s_HnNgg
031 CUÁLES SON SUS ASPIRACIONES|1fNoVn-914U
032 CUANTO DINERO NECESITA|Z7FAypnc0VQ
033 CUANTO ESTÁ DEBIENDO|EgxFsi-UV58
034 CUÁNTO ME CUESTA EL TRÁMITE|152ykspJQ40
035 CUÁNTO VALE EL PASAPORTE|GB6KJRPJySE
036 CUENTE Y CUIDE SU DINERO|Kl9polvzIz0
037 DEME SU NÚMERO|q2sTkBOb8Lo
038 DEPÓSITO|0tV8TJmzweo
039 DEUDA|QBFh2oRVX4M
040 DISCAPACIDAD|6DwZ4xHpAQM
041 DISTRIBUIDOR, PROVEEDOR|EzIKkbI7AcQ
042 DOCUMENTOS|1pb-1FQ37sI
043 DONACIONES|leUbJw1D6EI
044 DÓNDE ESTUDIÓ|A9QGH9R74c0
045 EFECTIVO DISPONIBLE|AuSc9fSLL_U
046 EL CHEQUE NO TIENE FONDOS|T_Fwr9sCtVQ
047 E M A A P Q|WGEsnybEUx8
048 EN  BILLETES  O EN MONEDAS|cW4na4vQlEE
049 EN QUÉ LE PUEDO AYUDAR|5FFWsn3sQuk
050 ESCUELAS|wCtT8URk0dA
051 ESTÁ BIEN|l0HDmOMv80c
052 ESTOS SON LOS REQUISITOS|P0CuBNrVP5o
053 ESTOY A SUS ÓRDENES|Y5Tq7dsHdQI
054 FIRMAS|rpmVLyB10Ts
055 FONDO DE RESERVA|p-YJ4bCopZc
056 FONDO MORTUORIO|5bmVqZmBa8M
057 FOTOGRAFÍA|zyjrTwfo8rg
058 GARANTE|SZEPoG4T6h0
059 GRACIAS POR SU PACIENCIA|22X5NLKSzc4
060  HAGA FILA|Kb07BsCfH_8
061 HORARIO DE ATENCIÓN AL PÚBLICO|MdBGqm_MqMk
062 HOSPITAL|5lrKwY-Ax8Y
063 IMPUESTO PREDIAL|Lrtph21N5R4
064 INGENIERO|-PFxLz0py3I
065 INSPECCIÓN|0dVgUXZU9XE
066 INTERÉS|cL7NV4REdUk
067 JEFATURA|PY1vlwLKrRQ
068 JUBILACIÓN|iIENsrQ51gs
069 JUICIO|BGwMydHK3hA
070 LECTURA DEL MEDIDOR DE AGUA|d01tzznN6Cs
071 LECTURA DEL MEDIDOR DE LUZ|sEaPOWuB_wo
072 LIBRETA MILITAR|h9oRA9FRM-w
073 LICENCIA DE CONDUCIR|LeYw3O7_vF8
074 LLENE ESTOS FORMULARIOS|vGJmSjZDJog
075 LUGAR DE TRABAJO|iDevucWPeOk
076 MAPA DE UBICACIÓN|5akMOmWLDCs
077 MEDIDOR DE AGUA|ASfNqeA2ewk
078 MEDIDOR DE AGUA ALTERADO|yR4L702-sVc
079 MEDIDOR DE LUZ|4NYFBXifKIk
080 MEDIDOR DE LUZ ALTERADO|cCjZH5RDhWI
081 NECESITA LA CLAVE PERSONAL|N4ETuRnEGPA
082 NECESITA UN GARANTE SOLVENTE|RrQo9Q_hOe4
083 NECESITO LA LECTURA DE MEDIDOR DE AGUA|K_h8416NgBM
084 NECESITO LA LECTURA DE SU MEDIDOR DE LUZ|EzHjpyrG3O4
085 NECESITO UN PRÉSTAMO|erHPMCWvaa8
086 NIÑA|XjQAOZ--6xc
087 NIÑO|DlVwZyXYd5w
088 NO APORTA EL PATRONO|Ne6rVFjY1j0
089 NO HAY SISTEMA|_ircdIjlCeQ
090 NÚMERO|zjID69VYzGo
091 NUTRICION|m6JbcWb9Jvg
092 OFICIAL DE CUENTA|Y-7hl33I6rc
093 PADRES DE FAMILIA|HwwBR7GJhzk
094 PAGUE EN TESORERÍA, O CONTABILIDAD|mg6Ki8PmAgc
095 PAPELETA DE VOTACIÓN|-JVJaoFRpg8
096 PARA QUÉ DESEA ELPRÉSTAMO|UNBTEKtjHGQ
097 PASE, POR FAVOR|geVVzNVOMxY
098 PLANOS|-USyQ0RJ4og
099 POR FAVOR NECESITO INFORMACIÓN|m-kQ4VpEQyM
100 POR FAVOR NECESITO UN CERTIFICADO BANCARIO|YEYLu_fYDP0
101 POR QUÉ QUIERE TRABAJAR EN EL BANCO|_62pxStB8dA
102 POR QUÉ SALIÓ DE SU TRABAJO|SnlxFEEy8NE
103 PRÉSTAMO HIPOTECARIO|ZtcJUsDI250
104 PRÉSTAMO QUIROGRAFARIO|1w-iSLo9a48
105 PROFESORES|nMhIR216axQ
106 PROFORMA DE REPARACIÓN|wd0IgAfRTIQ
107 QUÉ HORARIO TIENE|AWyF6O6qD5k
108 QUÉ VA A PAGAR|T8DjropmZ1g
109 QUIÉN ME PUEDE AYUDAR|V6Z8i2m-ilA
110 RECURSOS HUMANOS|HRMJbrSEnTY
112 RECLAMO|257u75QQbPM
113 REGRESE EN DOS DÍAS|NBcGAIlNIew
114 REQUISITOS DE AFILIACIÓN|9NVNoJZ86Vg
115 RETIRO|zWsho5wymZ4
116 R U C|fp6foGYvnLQ
117 SALDO|sGR-zd5BmQI
118 SALUD|sf8zqfB4KYs
119 SALUDABLE|rGFqVjt7lXE
120 SEGURO DE VIDA|je5y4dnmK_0
121 SERVICIOS BANCARIOS|RTlavZ_x8ko
122 SORDOS|NGEybFIQcrU
123 SU CUENTA CORRIENTE|GkPNyAzvzsk
124 SU FACTURA ESTÁ VENCIDA|_LM-V_WlrEw
125 SU LIBRETA DE AHORROS|-RmajKPT1rw
126 SU NÚMERO, POR FAVOR|uqpZ4yhPhEM
128 TARJETAS DE CAJERO|R2HLmK7jQvY
129 TARJETAS DE CRÉDITO|IgAYsx3f87E
130 TIEMPO DE SERVICIO|0yjLjOr4nvQ
131 TIENE INTERESES POR MORA ATRASO|p_DsC5f8yhU
132 TIENE LAS ESCRITURAS DE SU CASA|qO8FwZKzf4E
133 TRABAJAMOS HASTA LAS CINCO DE LA TARDE|l43mk0uPD9U
134 TRÁMITES|FVTggoUm9bc
135 TRANSFERIR|EeOLgdTcTmQ
136 UN MOMENTO POR FAVOR|QBYz6ew5Gm0
137 VACUNACION|FlzjNi9IkVE
138 VAYA A LA VENTANILLA No  5|5NRXgrtyNLU
139 VAYA A OBRAS PÚBLICAS O PLANIFICACIÓN|6gJDwU0xDBI
140 VAYA AL SEXTO PISO|8yGY75N75fY
141 ZONA, SECTOR DONDE LUGAR|IiZvrkVX7MY
